matrix, taco_times, finch_times, finch_gallop_times, finch_lead_times, finch_follow_times, finch_vbl_times
HB/bcsstm08, 3.5413e-5, 3.811e-5, 1.8557e-5, 2.3965e-5, 3.0847e-5, 2.083e-5
HB/bcsstm09, 2.6313e-5, 1.9576e-5, 1.7723e-5, 1.5658e-5, 2.6277e-5, 2.1385e-5
HB/bcsstm11, 4.0980000000000004e-5, 2.8388e-5, 2.4905e-5, 2.2135e-5, 3.9175e-5, 3.1914e-5
HB/bcsstm26, 6.1148e-5, 4.0514e-5, 3.3061e-5, 2.9118e-5, 5.5973e-5, 4.2261e-5
HB/bcsstm23, 0.00011181500000000001, 7.245e-5, 6.6669e-5, 6.1401e-5, 0.000107615, 0.000111507
HB/bcsstm24, 7.7315e-5, 6.1769e-5, 5.4139e-5, 4.7591e-5, 8.4497e-5, 6.5112e-5
HB/bcsstm21, 0.000101718, 7.1868e-5, 6.1907e-5, 5.5314e-5, 0.000102122, 8.3181e-5
HB/saylr3, 5.4077000000000004e-5, 4.5889e-5, 3.4062e-5, 3.2279e-5, 4.7293e-5, 3.6911e-5
HB/sherman1, 6.0136e-5, 4.9752e-5, 3.5493e-5, 3.3518e-5, 5.0821e-5, 3.7671e-5
HB/sherman4, 5.4471e-5, 4.2988e-5, 3.163e-5, 2.8693e-5, 4.2744e-5, 3.4859e-5
HB/1138_bus, 6.5758e-5, 6.9924e-5, 5.2458e-5, 4.8106e-5, 6.7488e-5, 5.4514e-5
HB/bcspwr06, 7.0762e-5, 7.8161e-5, 6.5053e-5, 5.6121e-5, 7.8064e-5, 6.4637e-5
HB/west1505, 5.6435000000000004e-5, 6.2785e-5, 5.3793e-5, 4.926e-5, 6.4719e-5, 5.6479e-5
HB/gre_1107, 7.9589e-5, 7.8776e-5, 5.0676e-5, 4.9553e-5, 6.5399e-5, 6.2471e-5
HB/bcspwr07, 8.884000000000001e-5, 8.8642e-5, 7.2999e-5, 6.3476e-5, 8.793e-5, 7.934e-5
HB/bcspwr08, 8.4923e-5, 8.3807e-5, 7.0661e-5, 6.2481e-5, 8.2853e-5, 8.7462e-5
HB/bcspwr09, 0.000103672, 0.000144544, 0.000112292, 0.000101544, 0.000113745, 0.000125538
