matrix, taco_times, finch_times, finch_gallop_times, finch_lead_times, finch_follow_times, finch_vbl_times
HB/bcsstm08, 0.000258543, 0.000126462, 5.1272e-5, 4.6225e-5, 0.000162077, 5.5458e-5
HB/bcsstm09, 0.00027240200000000004, 0.000133285, 5.4943e-5, 4.9532e-5, 0.000170237, 6.1071e-5
HB/bcsstm11, 0.000577028, 0.000263583, 9.3336e-5, 8.5412e-5, 0.000351659, 9.9813e-5
HB/bcsstm26, 0.0007943430000000001, 0.000358127, 0.000124318, 0.000114326, 0.000484543, 0.000134349
HB/bcsstm23, 0.0025223510000000004, 0.00106298, 0.000313991, 0.000298263, 0.001505158, 0.000340503
HB/bcsstm24, 0.0030342100000000003, 0.001272598, 0.000369347, 0.000351485, 0.001807735, 0.000397865
HB/bcsstm21, 0.0031483600000000002, 0.001318873, 0.000378473, 0.000361186, 0.001873752, 0.000403921
HB/saylr3, 0.000269791, 0.000174013, 8.8106e-5, 8.3061e-5, 0.00017936, 9.6981e-5
HB/sherman1, 0.000290695, 0.000182651, 9.0543e-5, 8.5786e-5, 0.000191074, 9.6803e-5
HB/sherman4, 0.00038317, 0.000221904, 0.000107048, 9.7391e-5, 0.000240372, 0.000112945
HB/1138_bus, 0.000424503, 0.000255996, 0.000122457, 0.00011657, 0.000273941, 0.000127862
HB/bcspwr06, 0.000610748, 0.000358026, 0.000166004, 0.000159914, 0.000390754, 0.000178008
HB/west1505, 0.0005314650000000001, 0.00031115, 0.000149159, 0.000137007, 0.000342194, 0.000150971
HB/gre_1107, 0.00042280400000000004, 0.000279064, 0.00014299, 0.000132942, 0.000284445, 0.000154405
HB/bcspwr07, 0.000682952, 0.000392377, 0.0001824, 0.000173791, 0.000433229, 0.000193878
HB/bcspwr08, 0.000684349, 0.000400047, 0.000192165, 0.000184195, 0.000436365, 0.000223654
HB/bcspwr09, 0.00122754, 0.000630664, 0.000270843, 0.000249966, 0.000739297, 0.000277594
HB/orsirr_1, 0.000423287, 0.000286696, 0.000146061, 0.000138391, 0.000292086, 0.000154079
HB/jagmesh2, 0.00027948100000000004, 0.000199864, 0.000112303, 0.000101194, 0.000198755, 0.000110998
HB/lshp1009, 0.0003165, 0.000216257, 0.000120587, 0.000108305, 0.000220329, 0.000119685
HB/west2021, 0.001076114, 0.000562594, 0.000236247, 0.000220098, 0.000657688, 0.00032993
HB/jagmesh3, 0.00040494, 0.000254688, 0.000130481, 0.000120299, 0.000267422, 0.000125805
HB/jagmesh7, 0.000462483, 0.000285753, 0.000144946, 0.000132597, 0.000306726, 0.000142898
HB/jagmesh8, 0.00034864, 0.000240819, 0.000131591, 0.000119386, 0.000246017, 0.000127045
HB/mahindas, 0.000539145, 0.000313049, 0.000138632, 0.000134995, 0.000331161, 0.000147291
HB/jagmesh5, 0.00038423, 0.000250153, 0.000134422, 0.000121783, 0.000261687, 0.000133822
HB/dwt_1007, 0.000313453, 0.00020567, 0.000114124, 0.000102253, 0.000208074, 9.7968e-5
HB/nnc1374, 0.000601486, 0.000372562, 0.000185829, 0.000166939, 0.00039913, 0.000173349
HB/dwt_1005, 0.00035833, 0.000255495, 0.000146059, 0.000129106, 0.00025645, 0.000131249
HB/lshp1270, 0.000455407, 0.000297339, 0.000157158, 0.000141701, 0.000307276, 0.000151709
HB/jagmesh6, 0.0005343240000000001, 0.000328849, 0.000166164, 0.000150042, 0.00035396, 0.000161216
HB/jagmesh9, 0.000528599, 0.000323053, 0.000163271, 0.000148769, 0.000344348, 0.00015769
HB/jagmesh4, 0.0006893870000000001, 0.00040191, 0.000191405, 0.000176165, 0.000449557, 0.000183923
HB/pores_2, 0.000538518, 0.000384333, 0.000187542, 0.000178985, 0.000369903, 0.000192535
HB/plsk1919, 0.00122142, 0.000633033, 0.000278523, 0.000249599, 0.000753481, 0.000277189
HB/dwt_1242, 0.00048160700000000005, 0.000312555, 0.000173842, 0.000153412, 0.00032598, 0.000151275
HB/lshp1561, 0.000728318, 0.00043352, 0.000211646, 0.000193527, 0.000473058, 0.000206227
HB/watt_1, 0.0008467310000000001, 0.000503345, 0.00022635, 0.000214888, 0.000538285, 0.000251816
HB/watt_2, 0.0008418830000000001, 0.000505993, 0.000225563, 0.000215953, 0.000537749, 0.000242888
HB/can_1054, 0.00041395600000000005, 0.000375099, 0.000220112, 0.000205362, 0.000329858, 0.00021167
HB/can_1072, 0.00040391900000000003, 0.000377008, 0.000219961, 0.000204474, 0.000326435, 0.000210551
HB/lshp1882, 0.0010594670000000001, 0.000590059, 0.000269172, 0.000248137, 0.000666675, 0.000261453
HB/bcsstk08, 0.00048445100000000005, 0.000416417, 0.000237157, 0.000227501, 0.000375121, 0.000260813
HB/orsreg_1, 0.001640366, 0.000888483, 0.000391361, 0.000355708, 0.000996172, 0.000408315
HB/blckhole, 0.0012370200000000001, 0.000670966, 0.000301408, 0.000276863, 0.000762885, 0.000291121
HB/lshp2233, 0.001303415, 0.000718744, 0.000327163, 0.000302653, 0.000818476, 0.000326457
HB/bcsstm25, 0.057631998000000004, 0.022736016, 0.005304398, 0.005237648, 0.033770783, 0.005389503
HB/lshp2614, 0.001719421, 0.000907943, 0.000390474, 0.00036067, 0.001055363, 0.000383904
HB/bcsstk09, 0.000419218, 0.000361335, 0.000208467, 0.000199437, 0.000323382, 0.000204909
HB/eris1176, 0.00048043600000000005, 0.000318523, 0.000144692, 0.000166496, 0.000290691, 0.000132554
HB/bcsstm12, 0.000738203, 0.000522324, 0.000272772, 0.000257024, 0.000511406, 0.000273512
HB/sherman3, 0.006237274, 0.002832664, 0.000951293, 0.000894441, 0.003579551, 0.000968165
HB/sherman5, 0.003338712, 0.00159709, 0.000587331, 0.000564029, 0.001953346, 0.000577784
HB/lshp3025, 0.002140637, 0.00111226, 0.000459874, 0.00042767, 0.001307996, 0.000454697
HB/bcspwr10, 0.011561022, 0.005008093, 0.001578397, 0.001478355, 0.006572364, 0.001649393
HB/bcsstm13, 0.001154803, 0.000768272, 0.000350855, 0.000350772, 0.000768646, 0.000382738
HB/bcsstk10, 0.00043698200000000004, 0.000361639, 0.000185392, 0.000194339, 0.00030319, 0.000179218
HB/bcsstm10, 0.00047934100000000004, 0.000383323, 0.000195333, 0.000202342, 0.000329871, 0.000188069
HB/saylr4, 0.003407831, 0.001742935, 0.000657402, 0.000615589, 0.002048785, 0.000668173
HB/sstmodel, 0.0027613000000000004, 0.00145383, 0.00059423, 0.00055697, 0.001706088, 0.000619176
HB/sherman2, 0.000488947, 0.000421906, 0.000226159, 0.000229347, 0.000352498, 0.000198752
HB/lshp3466, 0.002765502, 0.001374331, 0.00054994, 0.000513726, 0.001653948, 0.000547924
HB/dwt_2680, 0.002222429, 0.001198585, 0.000526293, 0.000484112, 0.001386665, 0.000488025
HB/lns_3937, 0.004844548000000001, 0.002293016, 0.000840482, 0.000795354, 0.002805092, 0.000867711
HB/lnsp3937, 0.004050798, 0.001998764, 0.000713927, 0.000710235, 0.002401153, 0.000806497
HB/bcsstk21, 0.0034090690000000002, 0.001816092, 0.000732223, 0.000704374, 0.002089484, 0.000784183
HB/zenios, 0.002597107, 0.001536478, 0.000678504, 0.000653805, 0.001652719, 0.000790474
HB/bcsstk26, 0.001081612, 0.000741551, 0.000356349, 0.00034726, 0.000720727, 0.000353711
HB/plat1919, 0.001796335, 0.001165438, 0.000578849, 0.000547738, 0.001173331, 0.000516144
