matrix, taco_time, finch_time, finch_gallop_time
SNAP/email-Eu-core, 0.015177978000000002, 0.021636194, 0.015112722
SNAP/email-Eu-core-temporal, 0.014745432000000001, 0.021897935, 0.015115378
SNAP/CollegeMsg, 0.006687974, 0.009952382, 0.006345939
SNAP/soc-sign-bitcoin-alpha, 0.009321361, 0.012183379, 0.007190694
SNAP/ca-GrQc, 0.0045988, 0.005265243, 0.004507361
SNAP/soc-sign-bitcoin-otc, 0.01596822, 0.019421672, 0.010229015
SNAP/p2p-Gnutella08, 0.0007936190000000001, 0.00112793, 0.001021016
SNAP/as-735, 0.015605702, 0.015170764, 0.005101876
SNAP/p2p-Gnutella09, 0.0009389530000000001, 0.001322749, 0.001247014
SNAP/wiki-Vote, 0.023246569, 0.028477257, 0.02000662
SNAP/p2p-Gnutella06, 0.0012072340000000002, 0.001768092, 0.001606178
SNAP/p2p-Gnutella05, 0.001209495, 0.00176245, 0.001608088
SNAP/ca-HepTh, 0.007438236000000001, 0.01090208, 0.008440803
SNAP/p2p-Gnutella04, 0.0015877480000000002, 0.002342359, 0.002162629
SNAP/wiki-RfA, 0.081705976, 0.116117931, 0.075040347
SNAP/Oregon-1, 0.038466875000000005, 0.037433561, 0.012074301
SNAP/Oregon-2, 0.05774876600000001, 0.060893813, 0.025747911
SNAP/ca-HepPh, 0.26480928000000004, 0.26367308, 0.235669474
SNAP/ca-AstroPh, 0.273537907, 0.370573004, 0.264142174
SNAP/p2p-Gnutella25, 0.0018053700000000002, 0.002680745, 0.002529247
SNAP/ca-CondMat, 0.048273665, 0.064770147, 0.046574764
SNAP/sx-mathoverflow, 0.31172772000000004, 0.381956675, 0.190258866
SNAP/p2p-Gnutella24, 0.002314407, 0.003417316, 0.003226882
SNAP/cit-HepTh, 0.045048183000000006, 0.043593458, 0.036977795
SNAP/as-caida, 0.106290402, 0.103537233, 0.031824312
SNAP/cit-HepPh, 0.039697550000000005, 0.039919283, 0.035290345
SNAP/p2p-Gnutella30, 0.0031979720000000003, 0.004677145, 0.004435991
SNAP/email-Enron, 0.39946108300000005, 0.45784027, 0.258998549
SNAP/loc-Brightkite, 0.253473271, 0.299757513, 0.194427887
SNAP/p2p-Gnutella31, 0.005337435000000001, 0.007357219, 0.007057054
SNAP/soc-Epinions1, 0.359765975, 0.484063363, 0.2834425
SNAP/soc-sign-Slashdot081106, 0.175210328, 0.23583908, 0.147502742
SNAP/soc-Slashdot0811, 1.060414365, 1.280455976, 0.689168277
SNAP/soc-sign-Slashdot090216, 0.17918751200000002, 0.240678611, 0.150563089
SNAP/soc-sign-Slashdot090221, 0.18275433200000002, 0.246954881, 0.154477703
SNAP/soc-Slashdot0902, 1.112169734, 1.339916795, 0.720698569
SNAP/soc-sign-epinions, 0.825571982, 1.097028752, 0.634359308
SNAP/sx-askubuntu, 0.6466124710000001, 0.697228643, 0.247419259
SNAP/sx-superuser, 1.358206386, 1.465255548, 0.503656559
SNAP/loc-Gowalla, 4.682043128, 4.683589455, 1.689321547
SNAP/amazon0302, 0.086720368, 0.112811023, 0.10096019
SNAP/email-EuAll, 0.12662678900000002, 0.146245926, 0.085492357
SNAP/web-Stanford, 0.46835564500000004, 0.51990121, 0.341681841
SNAP/com-DBLP, 0.49962180300000003, 0.602374061, 0.447393654
SNAP/web-NotreDame, 0.359904041, 0.241009462, 0.213597577
SNAP/com-Amazon, 0.32615808, 0.404235588, 0.302434899
SNAP/amazon0312, 0.35580710400000004, 0.450275894, 0.378844132
SNAP/amazon0601, 0.400181131, 0.499252935, 0.416369022
SNAP/amazon0505, 0.393806688, 0.491015865, 0.424233147
SNAP/higgs-twitter, 15.420758451000001, 18.979429303, 10.482842308
SNAP/web-BerkStan, 1.55591867, 1.219846925, 0.707386593
SNAP/web-Google, 0.9837579150000001, 1.130240854, 0.865395718
SNAP/roadNet-PA, 0.132857646, 0.194144832, 0.174443982
SNAP/com-Youtube, 20.60398383, 19.65914374, 5.457086794
SNAP/wiki-talk-temporal, 3.92042545, 4.592085507, 2.201649208
SNAP/roadNet-TX, 0.161610786, 0.233966001, 0.210439969
SNAP/soc-Pokec, 23.744214438, 30.148693671, 20.519454459
